N_NEIGHBORS	WEIGHTS	DISTANCE	WEIGHTS PARAMS	DIST PARAMS	TRAIN ACC	VAL ACC	CROSS VAL ACC
6	Always One	Minkowski	Empty	3	0.839486	0.752809	0.788122
6	Always One	Minkowski	Empty	4	0.837881	0.752809	0.788122
6	Always One	Minkowski	Empty	5	0.837881	0.752809	0.784912
6	Always One	Minkowski	Empty	6	0.837881	0.758427	0.781701
6	Always One	Minkowski	Empty	7	0.837881	0.758427	0.781701
6	Always One	Minkowski	Empty	8	0.834671	0.747191	0.781701
6	Always One	Minkowski	Empty	9	0.833066	0.747191	0.783307
6	Always One	Minkowski	Empty	10	0.834671	0.741573	0.784912
6	Inverse Distance	Minkowski	Empty	1	0.977528	0.724719	0.772071
6	Inverse Distance	Minkowski	Empty	2	0.977528	0.719101	0.765650
6	Inverse Distance	Minkowski	Empty	3	0.977528	0.719101	0.765650
6	Inverse Distance	Minkowski	Empty	4	0.977528	0.713483	0.765650
6	Inverse Distance	Minkowski	Empty	5	0.977528	0.713483	0.767255
6	Inverse Distance	Minkowski	Empty	6	0.977528	0.713483	0.767255
6	Inverse Distance	Minkowski	Empty	7	0.977528	0.713483	0.767255
6	Inverse Distance	Minkowski	Empty	8	0.977528	0.713483	0.770465
6	Inverse Distance	Minkowski	Empty	9	0.977528	0.713483	0.772071
6	Inverse Distance	Minkowski	Empty	10	0.977528	0.713483	0.770465
6	Negative Distance	Minkowski	Empty	1	0.582665	0.522472	0.507223
6	Negative Distance	Minkowski	Empty	2	0.611557	0.556180	0.495987
6	Negative Distance	Minkowski	Empty	3	0.601926	0.550562	0.502408
6	Negative Distance	Minkowski	Empty	4	0.595506	0.539326	0.495987
6	Negative Distance	Minkowski	Empty	5	0.605136	0.550562	0.504013
6	Negative Distance	Minkowski	Empty	6	0.603531	0.539326	0.504013
6	Negative Distance	Minkowski	Empty	7	0.605136	0.533708	0.504013
6	Negative Distance	Minkowski	Empty	8	0.611557	0.550562	0.502408
6	Negative Distance	Minkowski	Empty	9	0.603531	0.539326	0.495987
6	Negative Distance	Minkowski	Empty	10	0.603531	0.550562	0.495987
6	Hump	Minkowski	Empty	1	0.878010	0.769663	0.783307
6	Hump	Minkowski	Empty	2	0.869984	0.758427	0.776886
6	Hump	Minkowski	Empty	3	0.869984	0.758427	0.780096
6	Hump	Minkowski	Empty	4	0.869984	0.758427	0.780096
6	Hump	Minkowski	Empty	5	0.869984	0.758427	0.786517
6	Hump	Minkowski	Empty	6	0.869984	0.758427	0.783307
6	Hump	Minkowski	Empty	7	0.869984	0.758427	0.781701
6	Hump	Minkowski	Empty	8	0.871589	0.752809	0.783307
6	Hump	Minkowski	Empty	9	0.868379	0.758427	0.781701
6	Hump	Minkowski	Empty	10	0.866774	0.747191	0.784912
6	Decay	Minkowski	Empty	1	0.879615	0.769663	0.786517
6	Decay	Minkowski	Empty	2	0.876404	0.769663	0.784912
6	Decay	Minkowski	Empty	3	0.876404	0.769663	0.786517
6	Decay	Minkowski	Empty	4	0.876404	0.764045	0.784912
6	Decay	Minkowski	Empty	5	0.876404	0.764045	0.789727
6	Decay	Minkowski	Empty	6	0.876404	0.764045	0.786517
6	Decay	Minkowski	Empty	7	0.876404	0.764045	0.784912
6	Decay	Minkowski	Empty	8	0.876404	0.758427	0.786517
6	Decay	Minkowski	Empty	9	0.871589	0.764045	0.784912
6	Decay	Minkowski	Empty	10	0.871589	0.752809	0.788122
6	Normalized Negative Distance	Minkowski	Empty	1	0.897271	0.769663	0.784912
6	Normalized Negative Distance	Minkowski	Empty	2	0.908507	0.747191	0.783307
6	Normalized Negative Distance	Minkowski	Empty	3	0.908507	0.741573	0.784912
6	Normalized Negative Distance	Minkowski	Empty	4	0.908507	0.735955	0.784912
6	Normalized Negative Distance	Minkowski	Empty	5	0.908507	0.741573	0.786517
6	Normalized Negative Distance	Minkowski	Empty	6	0.908507	0.741573	0.788122
6	Normalized Negative Distance	Minkowski	Empty	7	0.908507	0.741573	0.788122
6	Normalized Negative Distance	Minkowski	Empty	8	0.906902	0.741573	0.786517
6	Normalized Negative Distance	Minkowski	Empty	9	0.906902	0.741573	0.784912
6	Normalized Negative Distance	Minkowski	Empty	10	0.906902	0.741573	0.784912
7	Always One	Minkowski	Empty	1	0.834671	0.769663	0.780096
7	Always One	Minkowski	Empty	2	0.836276	0.769663	0.775281
7	Always One	Minkowski	Empty	3	0.836276	0.769663	0.775281
7	Always One	Minkowski	Empty	4	0.834671	0.769663	0.775281
7	Always One	Minkowski	Empty	5	0.834671	0.769663	0.775281
7	Always One	Minkowski	Empty	6	0.833066	0.769663	0.775281
7	Always One	Minkowski	Empty	7	0.834671	0.769663	0.775281
7	Always One	Minkowski	Empty	8	0.836276	0.769663	0.770465
7	Always One	Minkowski	Empty	9	0.834671	0.769663	0.775281
7	Always One	Minkowski	Empty	10	0.834671	0.752809	0.773676
7	Inverse Distance	Minkowski	Empty	1	0.977528	0.735955	0.776886
7	Inverse Distance	Minkowski	Empty	2	0.977528	0.724719	0.770465
